2024-11-09 12:32:35 INFO  Utils - [TestNG] Running:
2024-11-09 12:33:11 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:33:11 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:33:12 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_33_11.png
2024-11-09 12:33:12 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:33:12 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:33:13 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:33:14 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:33:14 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:33:14 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_33_14.png
2024-11-09 12:33:15 INFO  TC001_LoginPageTest - ********* Browser Closed Successfully *********
2024-11-09 12:33:15 INFO  TC001_LoginPageTest - ================================TEST CASE ENDED=======================================
2024-11-09 12:58:03 INFO  TC001_LoginPageTest - ================================TEST CASE STARTED====================================
2024-11-09 12:58:04 INFO  WebDriverManager - Using chromedriver 130.0.6723.116 (resolved driver for Chrome 130)
2024-11-09 12:58:04 INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\deepa\.cache\selenium\chromedriver\win64\130.0.6723.116\chromedriver.exe
2024-11-09 12:58:12 INFO  TC001_LoginPageTest - ******* Browser Launched Successfully *********
2024-11-09 12:58:18 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:19 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:21 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:22 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:58:24 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:24 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:26 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:26 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:58:26 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:58:27 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_58_26.png
2024-11-09 12:58:27 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:28 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:29 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:30 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:58:32 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:33 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:34 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:35 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 12:58:37 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:37 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:39 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:39 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:58:39 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:58:39 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_58_39.png
2024-11-09 12:58:39 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 12:58:40 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 12:58:42 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 12:58:42 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 12:58:42 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 12:58:42 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-12_58_42.png
2024-11-09 12:58:43 INFO  TC001_LoginPageTest - ********* Browser Closed Successfully *********
2024-11-09 12:58:43 INFO  TC001_LoginPageTest - ================================TEST CASE ENDED=======================================
2024-11-09 13:00:19 INFO  TC001_LoginPageTest - ================================TEST CASE STARTED====================================
2024-11-09 13:00:23 INFO  WebDriverManager - Using chromedriver 130.0.6723.116 (resolved driver for Chrome 130)
2024-11-09 13:00:23 INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\deepa\.cache\selenium\chromedriver\win64\130.0.6723.116\chromedriver.exe
2024-11-09 13:00:34 INFO  TC001_LoginPageTest - ******* Browser Launched Successfully *********
2024-11-09 13:00:39 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:00:40 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:00:42 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:00:43 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 13:00:45 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:00:46 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:00:47 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:00:48 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 13:00:48 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 13:00:48 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-01_00_48.png
2024-11-09 13:00:48 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:00:49 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:00:50 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:00:51 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 13:00:52 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:00:53 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:00:55 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:00:55 INFO  TC001_LoginPageTest - ***** Validated Dashboard --> Login Successful ******
2024-11-09 13:00:57 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:00:58 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:00:59 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:01:00 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 13:01:00 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 13:01:00 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-01_01_00.png
2024-11-09 13:01:00 INFO  TC001_LoginPageTest - **** Starting TC001_LoginPageTest ***** 
2024-11-09 13:01:01 INFO  TC001_LoginPageTest - ***** Entered Login Information ******
2024-11-09 13:01:02 INFO  TC001_LoginPageTest - ***** Clicked on Login ******
2024-11-09 13:01:02 ERROR TC001_LoginPageTest - Error Message on Login Page: Invalid username/password. Please try again.
2024-11-09 13:01:02 INFO  TC001_LoginPageTest - Attempting to capture screenshot...
2024-11-09 13:01:03 INFO  TC001_LoginPageTest - Screenshot captured at: C:\workspace\OpenMRS_Healtcare_V001_Project\screenshots\verifyLOgin_2024-11-09-01_01_02.png
2024-11-09 13:01:03 INFO  TC001_LoginPageTest - ********* Browser Closed Successfully *********
2024-11-09 13:01:03 INFO  TC001_LoginPageTest - ================================TEST CASE ENDED=======================================
